"policy_id","policy_effective_year","month","underwriter","premium","coverage","irpm_value","loss_ratio","sales_manager","state","loss_ratio_category","irpm_status","action"
10050,"2012","Jan","Franca",4337,"home",1.35,28,"Ayikple","NC","loss ratio < 40%","has irpm","add credit"
9415,"2012","Nov","Kwabena",38775,"home",1.35,84,"Ayikple","NY","loss ratio>40%","has irpm","add debit"
7207,"2012","Sep","Abena",29086,"auto",0.71,57,"Odeneho","NY","loss ratio>40%","has irpm","no action"
8299,"2013","Feb","Janice",43896,"building",1.09,37,"Dedu","MN","loss ratio < 40%","has irpm","add credit"
257,"2011","Jul","Kwabena",26296,"products",0.67,93,"Ayikple","GA","loss ratio>40%","has irpm","no action"
4984,"2011","Aug","Abena",14957,"auto",1.4,46,"Odeneho","SC","loss ratio>40%","has irpm","no action"
7910,"2012","Aug","Abena",45373,"products",1.47,20,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
2257,"2010","Jul","Janice",39528,"products",1.67,0,"Dedu","MD","loss ratio < 40%","has irpm","add credit"
3318,"2011","May","Abbie",42970,"contents",1.07,45,"Dedu","GA","loss ratio>40%","has irpm","no action"
2415,"2010","Jul","Adjoa",47073,"home",0.88,31,"Dedu","NJ","loss ratio < 40%","has irpm","add credit"
1489,"2010","Mar","David",44812,"home",1.77,69,"Ayikple","TX","loss ratio>40%","has irpm","no action"
4322,"2012","Jul","Kwasi",32015,"building",0.83,30,"Ayikple","PA","loss ratio < 40%","has irpm","add credit"
4313,"2013","Mar","Alex",34537,"building",1.43,74,"Odeneho","FL","loss ratio>40%","has irpm","add debit"
3845,"2010","Mar","David",42052,"contents",0.85,98,"Dedu","NY","loss ratio>40%","has irpm","no action"
1589,"2015","Nov","Abbie",14073,"home",1.01,86,"Ayikple","NC","loss ratio>40%","has irpm","add debit"
1447,"2012","Oct","Ben",25491,"contents",1.37,56,"Ayikple","GA","loss ratio>40%","has irpm","no action"
2428,"2010","Jun","Janice",10758,"building",0.67,90,"Odeneho","NC","loss ratio>40%","has irpm","no action"
4855,"2015","Dec","Kwabena",40359,"building",0.81,35,"Ayikple","GA","loss ratio < 40%","has irpm","add credit"
2771,"2011","Jan","Francis",7734,"products",1.5,58,"Dedu","FL","loss ratio>40%","has irpm","no action"
8936,"2014","Sep","Abena",49676,"products",0.7,90,"Odeneho","MN","loss ratio>40%","has irpm","no action"
478,"2013","Sep","Ben",8367,"products",0.87,66,"Ayikple","WI","loss ratio>40%","has irpm","no action"
4606,"2014","Nov","Ekow",40315,"home",0.82,66,"Ayikple","MN","loss ratio>40%","has irpm","no action"
8320,"2013","Nov","Priscilla",18290,"home",0.65,43,"Dedu","IL","loss ratio>40%","has irpm","no action"
1270,"2015","May","Francis",34807,"building",0.56,15,"Odeneho","IL","loss ratio < 40%","has irpm","add credit"
5841,"2015","Aug","Ekow",42293,"auto",0.62,57,"Ayikple","MD","loss ratio>40%","has irpm","no action"
2150,"2011","Jun","Ben",31244,"auto",1.32,40,"Odeneho","NY","loss ratio>40%","has irpm","no action"
1328,"2014","Nov","Priscilla",12879,"contents",1.75,28,"Ayikple","VA","loss ratio < 40%","has irpm","add credit"
7841,"2013","Feb","Aseda",24872,"home",1.39,27,"Dedu","KY","loss ratio < 40%","has irpm","add credit"
9315,"2013","Jun","Mina",11759,"building",1.42,84,"Ayikple","SC","loss ratio>40%","has irpm","add debit"
3897,"2013","Feb","Adjoa",48022,"contents",1.79,99,"Odeneho","VA","loss ratio>40%","has irpm","add debit"
6921,"2013","May","Mina",46265,"building",1.88,93,"Odeneho","NJ","loss ratio>40%","has irpm","add debit"
987,"2011","Jun","Franca",38453,"contents",0.7,3,"Dedu","FL","loss ratio < 40%","has irpm","add credit"
3995,"2015","Dec","Mina",41223,"products",1.52,17,"Odeneho","WI","loss ratio < 40%","has irpm","add credit"
2855,"2014","Apr","Mina",11896,"auto",1.31,1,"Ayikple","GA","loss ratio < 40%","has irpm","add credit"
8474,"2012","Mar","Alex",20726,"building",1.35,24,"Dedu","NY","loss ratio < 40%","has irpm","add credit"
4665,"2014","Jun","Kwabena",6270,"auto",0.98,41,"Ayikple","PA","loss ratio>40%","has irpm","no action"
8424,"2015","Aug","David",9622,"products",1.82,57,"Ayikple","TN","loss ratio>40%","has irpm","no action"
8448,"2013","May","Abbie",23382,"contents",1.88,88,"Dedu","FL","loss ratio>40%","has irpm","add debit"
8259,"2013","Jun","Aseda",26808,"building",0.88,99,"Ayikple","MD","loss ratio>40%","has irpm","no action"
4573,"2012","Aug","Aseda",7005,"building",1.64,31,"Ayikple","NY","loss ratio < 40%","has irpm","add credit"
7843,"2011","Sep","Janice",31246,"building",1.79,60,"Dedu","GA","loss ratio>40%","has irpm","no action"
6541,"2011","Feb","Mina",15987,"building",0.88,97,"Dedu","TN","loss ratio>40%","has irpm","no action"
7381,"2012","Jun","Kwasi",24914,"contents",1.21,50,"Dedu","WI","loss ratio>40%","has irpm","no action"
7,"2015","Sep","David",42219,"auto",0.61,54,"Dedu","WI","loss ratio>40%","has irpm","no action"
4940,"2013","Feb","Alex",43415,"building",1.86,53,"Dedu","FL","loss ratio>40%","has irpm","no action"
2288,"2011","Feb","Ekow",13930,"products",1.75,87,"Ayikple","TN","loss ratio>40%","has irpm","add debit"
3946,"2012","Jul","Aseda",31903,"products",1.72,69,"Ayikple","PA","loss ratio>40%","has irpm","no action"
6366,"2012","Apr","Ama",11519,"auto",0.69,17,"Odeneho","NJ","loss ratio < 40%","has irpm","add credit"
3655,"2015","Dec","David",4978,"home",0.99,41,"Dedu","MD","loss ratio>40%","has irpm","no action"
1155,"2014","Jul","Janice",19077,"auto",1.08,79,"Odeneho","NJ","loss ratio>40%","has irpm","add debit"
2530,"2015","Apr","Ben",39319,"products",1.68,17,"Odeneho","TN","loss ratio < 40%","has irpm","add credit"
6938,"2014","May","Ben",4472,"building",1.41,6,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
4337,"2014","Jul","Mina",44738,"building",0.68,72,"Ayikple","MD","loss ratio>40%","has irpm","no action"
8184,"2012","Mar","Bella",32469,"building",1.91,50,"Odeneho","TX","loss ratio>40%","has irpm","no action"
1068,"2010","Jan","Dan",32225,"auto",1.22,45,"Dedu","MD","loss ratio>40%","has irpm","no action"
4515,"2013","Jul","Abbie",31068,"building",1.02,45,"Ayikple","GA","loss ratio>40%","has irpm","no action"
10223,"2013","Jan","Ama",48152,"building",0.79,79,"Ayikple","MD","loss ratio>40%","has irpm","no action"
9269,"2011","Nov","Francis",24129,"contents",0.5,66,"Ayikple","NJ","loss ratio>40%","has irpm","add credit"
9199,"2012","Aug","Ben",5656,"home",1.77,30,"Dedu","FL","loss ratio < 40%","has irpm","add credit"
1817,"2011","Nov","Abbie",7420,"home",0.74,52,"Dedu","TN","loss ratio>40%","has irpm","no action"
1356,"2010","May","David",18416,"auto",1.56,13,"Odeneho","TN","loss ratio < 40%","has irpm","add credit"
6776,"2015","Mar","Abbie",19127,"building",0.73,63,"Dedu","WI","loss ratio>40%","has irpm","no action"
3564,"2014","Feb","Emefa",45932,"contents",0.97,42,"Dedu","TX","loss ratio>40%","has irpm","no action"
6812,"2011","Apr","Kwabena",15867,"contents",1.97,17,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
3323,"2014","Aug","Priscilla",29880,"contents",1.78,28,"Ayikple","WI","loss ratio < 40%","has irpm","add credit"
1947,"2010","Jun","Kwasi",40319,"building",1.22,22,"Odeneho","MN","loss ratio < 40%","has irpm","add credit"
8112,"2010","Mar","Franca",27210,"contents",1.88,0,"Ayikple","MN","loss ratio < 40%","has irpm","add credit"
971,"2010","Jul","Adjoa",49097,"home",1.51,55,"Dedu","IL","loss ratio>40%","has irpm","no action"
4840,"2014","Aug","Bella",31108,"home",1.34,55,"Odeneho","NC","loss ratio>40%","has irpm","no action"
5303,"2012","Nov","Adjoa",13189,"building",1.75,15,"Ayikple","GA","loss ratio < 40%","has irpm","add credit"
6219,"2015","Jan","Abena",27490,"products",1.44,87,"Dedu","PA","loss ratio>40%","has irpm","add debit"
3450,"2012","Feb","Emefa",31559,"home",2,65,"Ayikple","MN","loss ratio>40%","has irpm","no action"
5064,"2015","Nov","Kwabena",29063,"building",1.42,5,"Odeneho","IL","loss ratio < 40%","has irpm","add credit"
9891,"2010","Apr","Emefa",5227,"contents",0.99,36,"Dedu","MD","loss ratio < 40%","has irpm","add credit"
5004,"2014","Oct","David",46150,"building",0.83,81,"Ayikple","WI","loss ratio>40%","has irpm","no action"
9225,"2014","Oct","Kwabena",45343,"contents",1.27,58,"Odeneho","FL","loss ratio>40%","has irpm","no action"
9473,"2015","Jun","Emefa",28603,"contents",0.51,27,"Odeneho","SC","loss ratio < 40%","has irpm","add credit"
6306,"2010","Dec","Priscilla",40043,"auto",0.95,93,"Odeneho","MN","loss ratio>40%","has irpm","no action"
4254,"2014","Jul","Priscilla",14073,"contents",1.91,30,"Odeneho","MD","loss ratio < 40%","has irpm","add credit"
1524,"2014","Feb","Dan",47887,"contents",1.56,31,"Dedu","MN","loss ratio < 40%","has irpm","add credit"
9686,"2014","Jan","Janice",5061,"contents",0.87,50,"Dedu","WI","loss ratio>40%","has irpm","no action"
3119,"2013","Aug","Ben",31659,"contents",0.68,3,"Dedu","NC","loss ratio < 40%","has irpm","add credit"
629,"2010","Aug","Adjoa",40093,"home",1.76,86,"Ayikple","SC","loss ratio>40%","has irpm","add debit"
9811,"2015","Mar","David",29951,"contents",1.12,0,"Dedu","VA","loss ratio < 40%","has irpm","add credit"
7459,"2012","Apr","Emefa",13758,"home",1.14,27,"Ayikple","PA","loss ratio < 40%","has irpm","add credit"
1473,"2013","Aug","Kwabena",45194,"building",0.9,81,"Ayikple","PA","loss ratio>40%","has irpm","no action"
5685,"2014","Jun","Dan",48415,"products",1.46,85,"Ayikple","NC","loss ratio>40%","has irpm","add debit"
9873,"2010","Feb","Abbie",15748,"building",1.51,60,"Dedu","KY","loss ratio>40%","has irpm","no action"
6058,"2015","Apr","Francis",5250,"products",0.71,44,"Ayikple","TN","loss ratio>40%","has irpm","no action"
4186,"2012","Oct","Abena",37555,"auto",0.77,8,"Dedu","VA","loss ratio < 40%","has irpm","add credit"
6703,"2010","Mar","Janice",15221,"auto",2,16,"Odeneho","MD","loss ratio < 40%","has irpm","add credit"
3309,"2015","Jan","Ben",16807,"building",1.95,12,"Dedu","KY","loss ratio < 40%","has irpm","add credit"
3183,"2011","May","Kwabena",6268,"home",1.91,3,"Ayikple","VA","loss ratio < 40%","has irpm","add credit"
2273,"2013","Aug","Abbie",16663,"contents",1.07,40,"Odeneho","KY","loss ratio < 40%","has irpm","add credit"
3821,"2011","May","Adjoa",6021,"building",1.09,38,"Odeneho","TN","loss ratio < 40%","has irpm","add credit"
10177,"2011","Apr","Abbie",22290,"building",0.69,33,"Odeneho","WI","loss ratio < 40%","has irpm","add credit"
1595,"2012","Apr","Franca",8964,"auto",1.98,49,"Odeneho","SC","loss ratio>40%","has irpm","no action"
942,"2013","Mar","Emefa",39708,"auto",1.74,43,"Odeneho","TN","loss ratio>40%","has irpm","no action"
1467,"2015","Feb","Dan",26164,"auto",1.44,47,"Odeneho","TX","loss ratio>40%","has irpm","no action"
7132,"2015","Sep","David",3180,"home",0.65,97,"Ayikple","GA","loss ratio>40%","has irpm","no action"
6401,"2012","Aug","Priscilla",15388,"auto",1.52,57,"Dedu","NJ","loss ratio>40%","has irpm","no action"
9212,"2010","Jan","Francis",33852,"products",1.2,69,"Odeneho","KY","loss ratio>40%","has irpm","no action"
6955,"2011","Mar","Ama",41811,"auto",1.88,14,"Odeneho","KY","loss ratio < 40%","has irpm","add credit"
7616,"2014","Dec","Francis",48165,"building",1.09,62,"Odeneho","SC","loss ratio>40%","has irpm","no action"
5384,"2010","Nov","David",24508,"home",1.05,7,"Dedu","VA","loss ratio < 40%","has irpm","add credit"
6817,"2015","Dec","Janice",48890,"contents",2,25,"Odeneho","FL","loss ratio < 40%","has irpm","add credit"
8489,"2012","Sep","Janice",44028,"building",1.14,88,"Ayikple","NC","loss ratio>40%","has irpm","add debit"
8121,"2014","Feb","Ekow",8747,"products",1.64,10,"Odeneho","NJ","loss ratio < 40%","has irpm","add credit"
10119,"2012","Jun","Emefa",16757,"building",0.55,64,"Odeneho","NJ","loss ratio>40%","has irpm","no action"
4538,"2012","Jun","Francis",18089,"auto",1.35,3,"Ayikple","FL","loss ratio < 40%","has irpm","add credit"
3219,"2010","Jan","Ekow",45482,"products",1.53,24,"Ayikple","MN","loss ratio < 40%","has irpm","add credit"
4228,"2011","May","Kwabena",15264,"auto",1.5,37,"Ayikple","GA","loss ratio < 40%","has irpm","add credit"
109,"2012","Oct","Bella",7212,"contents",0.51,23,"Dedu","WI","loss ratio < 40%","has irpm","add credit"
1898,"2011","Feb","Priscilla",22572,"auto",1.07,57,"Dedu","TX","loss ratio>40%","has irpm","no action"
8698,"2014","Apr","Janice",2176,"auto",1.08,58,"Odeneho","NJ","loss ratio>40%","has irpm","no action"
2386,"2012","Dec","Emefa",25419,"building",1.21,52,"Odeneho","GA","loss ratio>40%","has irpm","no action"
2468,"2014","Jun","Priscilla",42294,"contents",1.61,77,"Ayikple","TN","loss ratio>40%","has irpm","add debit"
792,"2015","Aug","Aseda",15898,"building",0.92,17,"Ayikple","VA","loss ratio < 40%","has irpm","add credit"
2536,"2015","Jul","Kwasi",23026,"auto",0.67,36,"Dedu","GA","loss ratio < 40%","has irpm","add credit"
7553,"2011","Dec","Kwabena",21281,"building",1.92,74,"Odeneho","SC","loss ratio>40%","has irpm","add debit"
8742,"2013","Dec","Adjoa",39266,"products",1.07,44,"Dedu","IL","loss ratio>40%","has irpm","no action"
5132,"2013","Dec","Adjoa",46157,"auto",1.33,79,"Dedu","KY","loss ratio>40%","has irpm","add debit"
4001,"2012","Nov","Emefa",10616,"home",1.67,35,"Ayikple","MD","loss ratio < 40%","has irpm","add credit"
2542,"2011","Sep","Janice",37909,"auto",1.58,50,"Odeneho","WI","loss ratio>40%","has irpm","no action"
1146,"2013","Aug","Abena",2929,"home",1.25,92,"Dedu","TN","loss ratio>40%","has irpm","add debit"
4021,"2012","Jun","Abbie",24438,"contents",0.97,78,"Ayikple","IL","loss ratio>40%","has irpm","no action"
5897,"2011","Oct","David",45876,"auto",1.21,93,"Ayikple","VA","loss ratio>40%","has irpm","add debit"
2236,"2012","Nov","Aseda",43247,"contents",1.23,69,"Ayikple","NC","loss ratio>40%","has irpm","no action"
4585,"2014","Aug","Abena",13195,"building",1.48,54,"Dedu","PA","loss ratio>40%","has irpm","no action"
2247,"2011","Oct","Mina",22128,"building",0.87,10,"Ayikple","TX","loss ratio < 40%","has irpm","add credit"
5177,"2011","Apr","Kwasi",10168,"products",0.74,38,"Ayikple","TN","loss ratio < 40%","has irpm","add credit"
3647,"2010","Apr","Franca",12293,"home",1.4,95,"Dedu","TX","loss ratio>40%","has irpm","add debit"
6697,"2015","Jan","Kwasi",38067,"building",1.82,88,"Dedu","MN","loss ratio>40%","has irpm","add debit"
3861,"2014","Jun","Dan",2013,"home",1.83,9,"Ayikple","MN","loss ratio < 40%","has irpm","add credit"
3662,"2010","Apr","Bella",2857,"contents",0.77,99,"Odeneho","TN","loss ratio>40%","has irpm","no action"
5497,"2011","Jan","Abena",43594,"home",1.94,23,"Dedu","PA","loss ratio < 40%","has irpm","add credit"
7625,"2010","Nov","Abena",26143,"contents",1.64,18,"Odeneho","MN","loss ratio < 40%","has irpm","add credit"
2277,"2012","Nov","Francis",30732,"building",1.88,11,"Odeneho","PA","loss ratio < 40%","has irpm","add credit"
4251,"2015","Jun","Bella",8378,"contents",1.25,13,"Odeneho","MD","loss ratio < 40%","has irpm","add credit"
2736,"2013","Jun","Alex",37065,"building",0.86,57,"Dedu","TN","loss ratio>40%","has irpm","no action"
6486,"2015","Jun","David",18644,"contents",1.11,37,"Dedu","NY","loss ratio < 40%","has irpm","add credit"
1893,"2014","Nov","Abbie",35553,"products",1.93,35,"Dedu","NJ","loss ratio < 40%","has irpm","add credit"
8890,"2010","Apr","Priscilla",13753,"contents",1.55,41,"Odeneho","NY","loss ratio>40%","has irpm","no action"
7684,"2010","Jan","Ekow",8614,"contents",1.41,49,"Odeneho","PA","loss ratio>40%","has irpm","no action"
6878,"2011","Sep","Alex",18847,"products",1.54,87,"Odeneho","PA","loss ratio>40%","has irpm","add debit"
6360,"2014","Feb","Bella",47696,"building",1.24,62,"Odeneho","NJ","loss ratio>40%","has irpm","no action"
3830,"2011","Oct","Emefa",48599,"contents",1.89,93,"Ayikple","GA","loss ratio>40%","has irpm","add debit"
5451,"2011","Oct","Priscilla",30974,"home",1.37,17,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
8998,"2013","Feb","Emefa",34793,"contents",0.88,18,"Dedu","TX","loss ratio < 40%","has irpm","add credit"
5984,"2012","Jun","Franca",19361,"products",0.81,23,"Odeneho","SC","loss ratio < 40%","has irpm","add credit"
8638,"2014","Mar","Abbie",1730,"contents",1.04,52,"Dedu","NY","loss ratio>40%","has irpm","no action"
3214,"2010","Jan","Ben",49982,"home",1.08,43,"Odeneho","MD","loss ratio>40%","has irpm","no action"
7284,"2013","Sep","David",32790,"contents",0.93,40,"Dedu","TN","loss ratio < 40%","has irpm","add credit"
2725,"2011","Jul","Ekow",28008,"auto",1.97,89,"Ayikple","NC","loss ratio>40%","has irpm","add debit"
6111,"2011","Apr","Abbie",32104,"products",1.08,25,"Dedu","FL","loss ratio < 40%","has irpm","add credit"
4948,"2010","Jun","Ekow",43325,"contents",1.49,28,"Ayikple","PA","loss ratio < 40%","has irpm","add credit"
10282,"2011","Aug","Ben",22670,"auto",1.6,81,"Odeneho","TX","loss ratio>40%","has irpm","add debit"
5803,"2014","May","Ekow",41688,"contents",0.89,36,"Odeneho","KY","loss ratio < 40%","has irpm","add credit"
9385,"2015","Mar","Franca",16945,"home",1.08,40,"Dedu","IL","loss ratio < 40%","has irpm","add credit"
9268,"2011","Jan","Janice",26135,"products",0.96,72,"Odeneho","WI","loss ratio>40%","has irpm","no action"
2818,"2010","Mar","Abena",39828,"building",1.24,26,"Dedu","WI","loss ratio < 40%","has irpm","add credit"
3303,"2013","Dec","Francis",5044,"contents",1.89,2,"Dedu","NY","loss ratio < 40%","has irpm","add credit"
10126,"2012","Sep","Franca",13707,"products",1.24,29,"Odeneho","NY","loss ratio < 40%","has irpm","add credit"
6369,"2013","Jun","Dan",38108,"home",1.18,9,"Odeneho","KY","loss ratio < 40%","has irpm","add credit"
9628,"2010","Sep","Bella",14388,"contents",0.6,99,"Odeneho","NC","loss ratio>40%","has irpm","no action"
4792,"2011","Apr","Dan",20951,"building",1.82,3,"Odeneho","FL","loss ratio < 40%","has irpm","add credit"
4178,"2010","Jul","Priscilla",19812,"building",1.09,14,"Odeneho","NC","loss ratio < 40%","has irpm","add credit"
6769,"2013","Jan","Mina",10115,"contents",1.23,44,"Ayikple","NC","loss ratio>40%","has irpm","no action"
1565,"2013","May","David",19853,"auto",1.55,64,"Dedu","TX","loss ratio>40%","has irpm","no action"
5882,"2013","Nov","Emefa",39793,"products",1.62,72,"Ayikple","FL","loss ratio>40%","has irpm","add debit"
2451,"2011","Apr","Alex",30586,"contents",0.55,68,"Ayikple","FL","loss ratio>40%","has irpm","no action"
9878,"2015","Mar","Priscilla",28363,"auto",1.93,46,"Ayikple","VA","loss ratio>40%","has irpm","no action"
6172,"2011","Apr","Francis",15985,"building",1.23,97,"Odeneho","IL","loss ratio>40%","has irpm","add debit"
5286,"2010","Feb","Dan",33070,"auto",1.54,46,"Dedu","NY","loss ratio>40%","has irpm","no action"
4131,"2010","Apr","Ekow",41470,"products",1.55,12,"Dedu","SC","loss ratio < 40%","has irpm","add credit"
9032,"2012","Sep","David",30492,"auto",1.86,73,"Odeneho","GA","loss ratio>40%","has irpm","add debit"
3736,"2015","Feb","Abbie",32803,"auto",0.99,3,"Dedu","NC","loss ratio < 40%","has irpm","add credit"
2957,"2013","Aug","Abbie",38719,"building",1.47,67,"Odeneho","VA","loss ratio>40%","has irpm","no action"
1751,"2013","Mar","Ben",8825,"building",1.73,35,"Dedu","SC","loss ratio < 40%","has irpm","add credit"
1766,"2013","Nov","Franca",37669,"auto",0.65,34,"Ayikple","NC","loss ratio < 40%","has irpm","add credit"
4944,"2015","Apr","Dan",32207,"building",1.58,44,"Dedu","MD","loss ratio>40%","has irpm","no action"
2594,"2011","Dec","Kwabena",16069,"home",1.21,65,"Ayikple","GA","loss ratio>40%","has irpm","no action"
2218,"2014","Mar","Bella",16989,"auto",1.21,31,"Dedu","WI","loss ratio < 40%","has irpm","add credit"
6914,"2010","Sep","Priscilla",1661,"auto",1.99,88,"Ayikple","TX","loss ratio>40%","has irpm","add debit"
489,"2014","Aug","Bella",46617,"auto",0.55,93,"Odeneho","PA","loss ratio>40%","has irpm","no action"
7184,"2011","Jul","Adjoa",3975,"contents",0.64,58,"Odeneho","TN","loss ratio>40%","has irpm","no action"
3607,"2014","Jul","Francis",29396,"auto",1.98,96,"Dedu","MN","loss ratio>40%","has irpm","add debit"
4191,"2015","Jan","Emefa",33946,"home",0.91,69,"Ayikple","VA","loss ratio>40%","has irpm","no action"
8413,"2015","Jul","Janice",6056,"contents",0.76,41,"Odeneho","IL","loss ratio>40%","has irpm","no action"
10434,"2012","Apr","Ben",18211,"home",0.64,61,"Ayikple","NY","loss ratio>40%","has irpm","no action"
2895,"2013","Sep","David",14314,"auto",1.62,67,"Ayikple","NC","loss ratio>40%","has irpm","no action"
9846,"2011","Dec","Dan",31956,"contents",1.5,30,"Ayikple","TX","loss ratio < 40%","has irpm","add credit"
7461,"2010","Nov","Aseda",25558,"contents",1.35,98,"Dedu","TX","loss ratio>40%","has irpm","add debit"
7030,"2010","Mar","Alex",3670,"building",1.88,63,"Odeneho","MN","loss ratio>40%","has irpm","no action"
542,"2015","Sep","Kwabena",38010,"building",0.53,9,"Ayikple","TN","loss ratio < 40%","has irpm","add credit"
4048,"2012","Nov","Ama",5844,"building",1.78,100,"Odeneho","NY","loss ratio>40%","has irpm","add debit"
4893,"2014","Jul","Kwabena",10148,"contents",1.62,74,"Dedu","TX","loss ratio>40%","has irpm","add debit"
5736,"2014","Sep","Priscilla",40104,"auto",1.94,84,"Dedu","SC","loss ratio>40%","has irpm","add debit"
7149,"2013","Aug","Mina",46947,"auto",0.9,94,"Dedu","PA","loss ratio>40%","has irpm","no action"
9373,"2011","Dec","Abena",5380,"building",1.94,13,"Odeneho","NJ","loss ratio < 40%","has irpm","add credit"
6329,"2013","Jan","Adjoa",11393,"auto",1.73,74,"Ayikple","NJ","loss ratio>40%","has irpm","add debit"
4385,"2014","Aug","Janice",20055,"building",1.24,5,"Dedu","VA","loss ratio < 40%","has irpm","add credit"
5548,"2010","Jul","Alex",48490,"home",0.62,12,"Odeneho","TX","loss ratio < 40%","has irpm","add credit"
599,"2013","Oct","Kwabena",6031,"building",1.78,57,"Odeneho","NC","loss ratio>40%","has irpm","no action"
2669,"2014","Sep","Kwasi",41969,"contents",1.72,68,"Dedu","TX","loss ratio>40%","has irpm","no action"
4063,"2011","Oct","Francis",19729,"auto",1.36,46,"Dedu","WI","loss ratio>40%","has irpm","no action"
2023,"2013","Jul","Kwasi",43563,"building",1.38,67,"Ayikple","NC","loss ratio>40%","has irpm","no action"
8509,"2013","May","Francis",25903,"building",1.34,21,"Ayikple","IL","loss ratio < 40%","has irpm","add credit"
1564,"2015","Nov","Abena",27072,"contents",1.31,68,"Ayikple","SC","loss ratio>40%","has irpm","no action"
8216,"2013","May","Ekow",33140,"home",1.21,61,"Odeneho","TN","loss ratio>40%","has irpm","no action"
5592,"2012","Dec","Abena",16978,"auto",1.95,9,"Dedu","KY","loss ratio < 40%","has irpm","add credit"
6772,"2015","Aug","Ekow",26270,"building",0.67,98,"Dedu","VA","loss ratio>40%","has irpm","no action"
1756,"2010","Nov","Ekow",9435,"products",1.56,70,"Ayikple","TN","loss ratio>40%","has irpm","add debit"
6472,"2010","Oct","Abbie",26830,"contents",1.06,1,"Ayikple","FL","loss ratio < 40%","has irpm","add credit"
3188,"2010","Dec","Janice",28145,"products",0.56,40,"Ayikple","MD","loss ratio>40%","has irpm","no action"
