Policyid,policyeffyr,month,underwriter,premium,coverage,irpm,loss ratio,sales manager,state,reason1,reason2,action selected
67,2014,Nov,Kwabena,24287,home,0.73,87%,Ayikple,GA,loss ratio>40%,has irpm,no action
68,2015,Feb,Emefa,2274,building,0.58,98%,Dedu,TX,loss ratio>40%,has irpm,no action
69,2015,Dec,Abbie,29413,products,0.88,60%,Ayikple,FL,loss ratio>40%,has irpm,no action
70,2015,Sep,Aseda,21549,building,0.71,35%,Dedu,MN,,has irpm,add credit
71,2011,Sep,Bella,11451,auto,0.98,5%,Odeneho,SC,,has irpm,add credit
72,2015,Jun,Janice,16468,contents,1.72,16%,Odeneho,FL,,has irpm,add credit
73,2010,Dec,Francis,35162,home,1.87,69%,Dedu,NC,loss ratio>40%,has irpm,no action
74,2012,Oct,Priscilla,25024,contents,1.43,26%,Ayikple,NC,,has irpm,add credit
75,2013,Jun,Franca,40636,products,0.95,32%,Odeneho,PA,,has irpm,add credit
76,2015,Apr,Alex,36766,contents,1.13,12%,Odeneho,FL,,has irpm,add credit
77,2014,May,Ama,29848,building,1.37,74%,Dedu,TN,loss ratio>40%,has irpm,add debit
78,2010,Feb,Adjoa,33617,contents,0.61,74%,Dedu,WI,loss ratio>40%,has irpm,no action
79,2011,Aug,Ben,24528,auto,1.69,36%,Dedu,IL,,has irpm,add credit
80,2010,Jun,Dan,19738,products,0.83,8%,Odeneho,WI,,has irpm,add credit
81,2015,Mar,Mina,1889,building,1.93,92%,Ayikple,NC,loss ratio>40%,has irpm,add debit
82,2011,Jul,Abena,9644,auto,1.81,100%,Ayikple,NY,loss ratio>40%,has irpm,add debit
83,2013,Feb,David,47589,products,1.92,19%,Ayikple,VA,,has irpm,add credit
84,2011,Apr,Ekow,31632,building,0.75,80%,Odeneho,MN,loss ratio>40%,has irpm,no action
85,2014,Feb,Kwasi,6162,home,1.29,1%,Odeneho,MD,,has irpm,add credit
86,2014,Aug,Kwabena,15283,auto,1.51,92%,Dedu,FL,loss ratio>40%,has irpm,add debit
87,2014,Jul,Emefa,37674,building,1.7,99%,Dedu,SC,loss ratio>40%,has irpm,add debit
88,2014,Jan,Abbie,43703,auto,1.55,75%,Odeneho,MN,loss ratio>40%,has irpm,add debit
89,2010,May,Aseda,49985,home,1.61,93%,Dedu,NC,loss ratio>40%,has irpm,add debit
90,2011,Oct,Bella,44744,contents,1.8,9%,Dedu,NC,,has irpm,add credit
91,2015,Apr,Janice,4123,contents,1.82,11%,Odeneho,IL,,has irpm,add credit
92,2014,Apr,Francis,14181,home,1.46,100%,Dedu,VA,loss ratio>40%,has irpm,add debit
93,2012,Dec,Priscilla,10378,products,0.92,46%,Dedu,NJ,loss ratio>40%,has irpm,no action
94,2012,Jan,Franca,12059,building,1.86,27%,Odeneho,PA,,has irpm,add credit
95,2011,Nov,Alex,21623,home,1.17,28%,Odeneho,NC,,has irpm,add credit
96,2014,Feb,Ama,20538,building,1.63,31%,Ayikple,TX,,has irpm,add credit
97,2010,Dec,Adjoa,36539,products,0.51,32%,Odeneho,VA,,has irpm,add credit
98,2011,Oct,Ben,20205,contents,0.84,91%,Odeneho,TN,loss ratio>40%,has irpm,no action
99,2013,Aug,Dan,15673,contents,1.17,58%,Odeneho,WI,loss ratio>40%,has irpm,no action
100,2010,Jun,Mina,44666,products,0.56,60%,Odeneho,NJ,loss ratio>40%,has irpm,no action
101,2012,Aug,Abena,1701,products,0.85,62%,Odeneho,TN,loss ratio>40%,has irpm,no action
102,2014,Apr,David,17650,building,1.87,83%,Odeneho,MD,loss ratio>40%,has irpm,add debit
103,2013,Jan,Ekow,15399,auto,1.4,96%,Ayikple,FL,loss ratio>40%,has irpm,add debit
104,2015,Feb,Kwasi,2802,products,1.88,32%,Odeneho,NC,,has irpm,add credit
105,2014,Jan,Kwabena,23423,products,1.76,83%,Dedu,PA,loss ratio>40%,has irpm,add debit
106,2010,Dec,Emefa,29331,building,1.63,10%,Dedu,TN,,has irpm,add credit
107,2013,Mar,Abbie,8588,contents,1.18,19%,Odeneho,MD,,has irpm,add credit
108,2015,Feb,Aseda,22430,home,1.8,79%,Ayikple,WI,loss ratio>40%,has irpm,add debit
109,2012,Oct,Bella,7212,contents,0.51,23%,Dedu,WI,,has irpm,add credit
110,2012,Apr,Janice,27760,building,1.31,60%,Odeneho,WI,loss ratio>40%,has irpm,no action
111,2011,Apr,Francis,32662,building,1.18,100%,Ayikple,NC,loss ratio>40%,has irpm,add debit
112,2011,Feb,Priscilla,25621,home,1.96,0%,Dedu,MN,,has irpm,add credit
113,2015,Sep,Franca,14514,home,1.2,87%,Ayikple,PA,loss ratio>40%,has irpm,add debit
114,2010,Jul,Alex,35733,products,1.73,98%,Ayikple,KY,loss ratio>40%,has irpm,add debit
115,2012,Sep,Ama,46165,home,0.85,50%,Odeneho,KY,loss ratio>40%,has irpm,no action
116,2015,Oct,Adjoa,31494,building,1.08,78%,Ayikple,VA,loss ratio>40%,has irpm,add debit
117,2012,Apr,Ben,38239,building,1.6,92%,Odeneho,GA,loss ratio>40%,has irpm,add debit
118,2013,Jan,Dan,12118,home,1.58,37%,Odeneho,TX,,has irpm,add credit
119,2014,Apr,Mina,8279,auto,0.62,54%,Ayikple,FL,loss ratio>40%,has irpm,no action
120,2013,Mar,Abena,19528,products,1.94,42%,Dedu,TX,loss ratio>40%,has irpm,no action
121,2013,Feb,David,18745,home,1.36,47%,Dedu,NC,loss ratio>40%,has irpm,no action
122,2014,Dec,Ekow,30468,contents,1.11,26%,Dedu,MN,,has irpm,add credit
123,2011,Jun,Kwasi,16844,home,1.37,24%,Dedu,NC,,has irpm,add credit
124,2010,Oct,Kwabena,35106,auto,1,30%,Odeneho,PA,,,add credit
125,2012,Jan,Emefa,7655,building,0.52,68%,Dedu,WI,loss ratio>40%,has irpm,no action
126,2012,Mar,Abbie,20042,contents,1.85,77%,Odeneho,IL,loss ratio>40%,has irpm,add debit
127,2010,Oct,Aseda,25214,home,1.6,51%,Odeneho,TX,loss ratio>40%,has irpm,no action
128,2013,Sep,Bella,3307,auto,1.22,63%,Dedu,MD,loss ratio>40%,has irpm,no action
129,2014,Jun,Janice,14988,contents,0.77,53%,Ayikple,MN,loss ratio>40%,has irpm,no action
130,2012,May,Francis,13763,building,1.35,63%,Dedu,GA,loss ratio>40%,has irpm,no action
131,2015,Jul,Priscilla,36346,auto,1.05,1%,Ayikple,GA,,has irpm,add credit
132,2010,Feb,Franca,2648,auto,1.61,36%,Dedu,WI,,has irpm,add credit
133,2011,Nov,Alex,9713,home,0.74,65%,Odeneho,GA,loss ratio>40%,has irpm,no action
134,2011,May,Ama,25576,auto,1.5,83%,Dedu,NJ,loss ratio>40%,has irpm,add debit
135,2012,Sep,Adjoa,13980,contents,1.59,59%,Odeneho,GA,loss ratio>40%,has irpm,no action
136,2011,Feb,Ben,16244,contents,1.71,94%,Odeneho,MN,loss ratio>40%,has irpm,add debit
137,2010,Jul,Dan,16172,products,0.76,10%,Dedu,TN,,has irpm,add credit
138,2014,Sep,Mina,15646,products,1.36,60%,Ayikple,NJ,loss ratio>40%,has irpm,no action
139,2011,Sep,Abena,44888,auto,1.59,20%,Dedu,WI,,has irpm,add credit
140,2014,Dec,David,18723,home,1.95,51%,Dedu,KY,loss ratio>40%,has irpm,no action
141,2010,Sep,Ekow,46446,contents,1.14,15%,Odeneho,PA,,has irpm,add credit
142,2015,Mar,Kwasi,17271,home,1.15,2%,Dedu,IL,,has irpm,add credit
143,2014,Jul,Kwabena,11552,auto,0.72,78%,Dedu,WI,loss ratio>40%,has irpm,no action
144,2012,Apr,Emefa,35196,building,0.94,81%,Ayikple,MN,loss ratio>40%,has irpm,no action
145,2010,Apr,Abbie,30048,contents,0.85,65%,Dedu,TN,loss ratio>40%,has irpm,no action
146,2010,Dec,Aseda,16144,contents,0.83,6%,Ayikple,NY,,has irpm,add credit
147,2012,Dec,Bella,20709,contents,1.49,6%,Dedu,FL,,has irpm,add credit
148,2010,Feb,Janice,34904,home,0.53,33%,Ayikple,WI,,has irpm,add credit
149,2010,Jun,Francis,36627,auto,1.76,47%,Ayikple,TN,loss ratio>40%,has irpm,no action
150,2013,May,Priscilla,4997,products,1.88,10%,Odeneho,FL,,has irpm,add credit
151,2012,May,Franca,44853,home,1.52,66%,Odeneho,PA,loss ratio>40%,has irpm,no action
152,2012,Dec,Alex,28805,building,0.57,58%,Odeneho,SC,loss ratio>40%,has irpm,no action
153,2013,Oct,Ama,10926,building,1.22,29%,Dedu,NJ,,has irpm,add credit
154,2014,Sep,Adjoa,19527,contents,0.73,20%,Odeneho,PA,,has irpm,add credit
155,2013,Sep,Ben,45104,auto,1.63,57%,Odeneho,IL,loss ratio>40%,has irpm,no action
156,2012,Mar,Dan,28779,contents,1,99%,Odeneho,TN,loss ratio>40%,,no action
157,2013,Mar,Mina,33162,home,1.76,27%,Dedu,MD,,has irpm,add credit
158,2014,May,Abena,30986,home,1.46,24%,Odeneho,GA,,has irpm,add credit
159,2011,Jun,David,8905,home,0.54,45%,Ayikple,TN,loss ratio>40%,has irpm,no action
160,2013,Sep,Ekow,25258,contents,1.67,11%,Dedu,TN,,has irpm,add credit
161,2014,Jun,Kwasi,10715,products,0.86,19%,Ayikple,GA,,has irpm,add credit
162,2011,Feb,Kwabena,42986,contents,0.65,50%,Ayikple,TN,loss ratio>40%,has irpm,no action
163,2013,Mar,Emefa,5038,auto,1.45,31%,Odeneho,FL,,has irpm,add credit
164,2010,May,Abbie,8075,products,1.33,6%,Ayikple,SC,,has irpm,add credit
165,2012,Jan,Aseda,41445,products,1.95,69%,Dedu,TX,loss ratio>40%,has irpm,no action
166,2013,Dec,Bella,32095,home,1.21,39%,Dedu,TX,,has irpm,add credit
167,2010,Dec,Janice,36596,building,1.25,72%,Ayikple,NY,loss ratio>40%,has irpm,add debit
168,2014,Feb,Francis,31065,products,0.65,54%,Dedu,TN,loss ratio>40%,has irpm,no action
169,2010,Sep,Priscilla,13858,auto,1.44,40%,Ayikple,PA,loss ratio>40%,has irpm,no action
170,2011,Feb,Franca,17540,home,0.7,98%,Odeneho,GA,loss ratio>40%,has irpm,no action
171,2010,Aug,Alex,20110,home,0.53,20%,Dedu,PA,,has irpm,add credit
172,2011,Aug,Ama,35397,building,0.63,59%,Ayikple,KY,loss ratio>40%,has irpm,no action
173,2011,Mar,Adjoa,43044,auto,1.79,96%,Odeneho,NY,loss ratio>40%,has irpm,add debit
174,2010,Apr,Ben,39330,products,0.56,20%,Dedu,GA,,has irpm,add credit
175,2011,Jul,Dan,41531,building,0.94,49%,Dedu,NY,loss ratio>40%,has irpm,no action
176,2014,Jan,Mina,34981,building,0.78,77%,Dedu,WI,loss ratio>40%,has irpm,no action
177,2012,Jun,Abena,47652,home,0.64,10%,Dedu,PA,,has irpm,add credit
178,2013,Mar,David,43937,home,1.98,7%,Ayikple,NY,,has irpm,add credit
179,2015,Feb,Ekow,7889,building,1.36,16%,Odeneho,PA,,has irpm,add credit
180,2015,Jun,Kwasi,43773,contents,1.06,1%,Dedu,TN,,has irpm,add credit
181,2012,Jan,Kwabena,17616,building,1.91,88%,Odeneho,NJ,loss ratio>40%,has irpm,add debit
182,2014,Sep,Emefa,19189,contents,0.53,35%,Odeneho,NY,,has irpm,add credit
183,2013,Feb,Abbie,34849,building,1.94,9%,Ayikple,GA,,has irpm,add credit
184,2012,Dec,Aseda,26347,building,1.58,80%,Ayikple,MN,loss ratio>40%,has irpm,add debit
185,2015,Jan,Bella,2807,auto,1.55,10%,Dedu,IL,,has irpm,add credit
186,2013,Jan,Janice,16975,contents,1.48,17%,Dedu,WI,,has irpm,add credit
187,2014,Apr,Francis,15826,building,0.6,97%,Ayikple,FL,loss ratio>40%,has irpm,no action
188,2011,Jan,Priscilla,27008,home,0.88,3%,Dedu,SC,,has irpm,add credit
189,2012,Mar,Franca,1957,building,1.29,67%,Odeneho,SC,loss ratio>40%,has irpm,no action
190,2012,Jul,Alex,22284,building,0.72,76%,Odeneho,TX,loss ratio>40%,has irpm,no action
191,2010,Nov,Ama,41147,contents,1.67,52%,Ayikple,TN,loss ratio>40%,has irpm,no action
192,2010,Nov,Adjoa,46344,products,0.67,43%,Odeneho,NJ,loss ratio>40%,has irpm,no action
193,2011,Aug,Ben,49014,auto,0.88,50%,Odeneho,NY,loss ratio>40%,has irpm,no action
194,2010,Jul,Dan,24183,contents,1.71,92%,Ayikple,NY,loss ratio>40%,has irpm,add debit
195,2010,Jun,Mina,2429,contents,1.14,72%,Odeneho,NJ,loss ratio>40%,has irpm,add debit
196,2012,Jan,Abena,9551,products,0.93,5%,Ayikple,IL,,has irpm,add credit
197,2014,Jan,David,26184,contents,0.81,39%,Ayikple,NJ,,has irpm,add credit
198,2013,Jun,Ekow,24351,home,1.38,17%,Dedu,KY,,has irpm,add credit
199,2012,Nov,Kwasi,12776,home,1.56,76%,Dedu,MD,loss ratio>40%,has irpm,add debit
200,2012,Oct,Kwabena,20161,contents,1.56,70%,Odeneho,KY,loss ratio>40%,has irpm,no action
201,2012,Oct,Emefa,2790,auto,1.95,44%,Ayikple,KY,loss ratio>40%,has irpm,no action
202,2011,Apr,Abbie,20069,home,0.87,45%,Dedu,KY,loss ratio>40%,has irpm,no action
203,2010,Oct,Aseda,8932,home,1.07,28%,Odeneho,GA,,has irpm,add credit
204,2011,Apr,Bella,15475,contents,1.26,17%,Odeneho,TX,,has irpm,add credit
205,2013,Nov,Janice,34812,products,1.6,5%,Dedu,GA,,has irpm,add credit
206,2010,Jun,Francis,17556,building,1.16,84%,Dedu,GA,loss ratio>40%,has irpm,add debit
207,2014,Sep,Priscilla,9223,building,0.94,89%,Odeneho,WI,loss ratio>40%,has irpm,no action
208,2012,Jun,Franca,8890,building,1.75,37%,Dedu,VA,,has irpm,add credit
209,2012,Apr,Alex,46172,products,1.08,74%,Odeneho,MD,loss ratio>40%,has irpm,add debit
210,2015,Aug,Ama,45900,auto,1.22,85%,Dedu,VA,loss ratio>40%,has irpm,add debit
211,2010,Mar,Adjoa,26213,contents,1.63,64%,Dedu,MD,loss ratio>40%,has irpm,no action
212,2010,May,Ben,23290,products,1.5,50%,Dedu,TN,loss ratio>40%,has irpm,no action
213,2013,Dec,Dan,45608,home,0.65,53%,Odeneho,IL,loss ratio>40%,has irpm,no action
214,2013,Feb,Mina,10027,building,1.98,96%,Odeneho,FL,loss ratio>40%,has irpm,add debit
215,2013,Feb,Abena,5070,products,1.77,7%,Dedu,TN,,has irpm,add credit
216,2014,Dec,David,25815,contents,1.95,63%,Ayikple,NY,loss ratio>40%,has irpm,no action
217,2013,Apr,Ekow,38232,products,1.51,90%,Dedu,MD,loss ratio>40%,has irpm,add debit
218,2015,Jan,Kwasi,6744,auto,1.5,49%,Ayikple,TX,loss ratio>40%,has irpm,no action
219,2013,Oct,Kwabena,10125,auto,1.55,17%,Ayikple,NJ,,has irpm,add credit
220,2013,Jun,Emefa,17133,auto,0.94,26%,Dedu,NJ,,has irpm,add credit
221,2015,Feb,Abbie,1662,contents,0.65,14%,Odeneho,NY,,has irpm,add credit
222,2015,Mar,Aseda,23110,home,1.94,83%,Ayikple,PA,loss ratio>40%,has irpm,add debit
223,2013,Nov,Bella,15772,auto,1.94,15%,Ayikple,FL,,has irpm,add credit
224,2011,Dec,Janice,11011,building,0.73,57%,Ayikple,TN,loss ratio>40%,has irpm,no action
225,2011,May,Francis,43281,auto,0.62,56%,Ayikple,KY,loss ratio>40%,has irpm,no action
226,2013,Sep,Priscilla,45055,products,1.45,33%,Dedu,IL,,has irpm,add credit
227,2015,Feb,Franca,3950,home,1.48,11%,Ayikple,MN,,has irpm,add credit
228,2013,May,Alex,15298,building,1.85,77%,Dedu,TN,loss ratio>40%,has irpm,add debit
229,2011,Oct,Ama,33712,home,1.41,25%,Odeneho,MN,,has irpm,add credit
230,2013,Sep,Adjoa,39948,contents,0.9,83%,Dedu,KY,loss ratio>40%,has irpm,no action
231,2015,Aug,Ben,24128,contents,1.09,73%,Odeneho,TX,loss ratio>40%,has irpm,add debit
232,2012,Sep,Dan,26390,products,1.75,45%,Dedu,NY,loss ratio>40%,has irpm,no action
233,2015,Mar,Mina,10260,contents,0.64,76%,Ayikple,FL,loss ratio>40%,has irpm,no action
234,2015,Sep,Abena,23256,building,1.05,68%,Odeneho,VA,loss ratio>40%,has irpm,no action
235,2013,Jul,David,39088,home,1.87,34%,Dedu,TX,,has irpm,add credit
236,2015,Apr,Ekow,13154,contents,0.53,99%,Ayikple,MN,loss ratio>40%,has irpm,no action
237,2012,Jun,Kwasi,16062,contents,1.59,42%,Ayikple,MD,loss ratio>40%,has irpm,no action
238,2010,Aug,Kwabena,15346,products,0.65,84%,Ayikple,FL,loss ratio>40%,has irpm,no action
239,2015,Sep,Emefa,45121,building,0.92,63%,Ayikple,MD,loss ratio>40%,has irpm,no action
240,2014,Aug,Abbie,34731,building,0.52,24%,Ayikple,IL,,has irpm,add credit
241,2015,Nov,Aseda,21336,home,1.05,29%,Ayikple,KY,,has irpm,add credit
242,2014,Mar,Bella,6312,products,1.23,25%,Odeneho,NC,,has irpm,add credit
243,2011,Mar,Janice,37521,contents,0.79,53%,Dedu,GA,loss ratio>40%,has irpm,no action
244,2012,Feb,Francis,45644,home,0.78,84%,Dedu,TN,loss ratio>40%,has irpm,no action
245,2015,Oct,Priscilla,20833,products,1.84,85%,Ayikple,TN,loss ratio>40%,has irpm,add debit
246,2014,Feb,Franca,33538,contents,0.69,89%,Dedu,FL,loss ratio>40%,has irpm,no action
247,2010,Feb,Alex,15032,auto,0.91,70%,Dedu,FL,loss ratio>40%,has irpm,no action
248,2010,Apr,Ama,21807,home,0.98,86%,Odeneho,GA,loss ratio>40%,has irpm,no action
249,2015,May,Adjoa,35371,products,1.31,17%,Dedu,WI,,has irpm,add credit
250,2014,Feb,Ben,36350,auto,1.06,3%,Odeneho,SC,,has irpm,add credit
251,2012,Oct,Dan,31279,building,1.02,31%,Ayikple,MD,,has irpm,add credit
252,2010,Mar,Mina,25082,home,1.44,7%,Odeneho,WI,,has irpm,add credit
253,2013,Sep,Abena,11347,products,0.62,18%,Ayikple,TN,,has irpm,add credit
254,2010,Sep,David,49686,products,1.57,59%,Ayikple,MD,loss ratio>40%,has irpm,no action
255,2011,Oct,Ekow,36596,building,1.64,95%,Odeneho,KY,loss ratio>40%,has irpm,add debit
256,2015,Mar,Kwasi,14305,products,1.97,77%,Ayikple,SC,loss ratio>40%,has irpm,add debit
257,2011,Jul,Kwabena,26296,products,0.67,93%,Ayikple,GA,loss ratio>40%,has irpm,no action
258,2012,Sep,Emefa,19527,home,0.59,55%,Ayikple,PA,loss ratio>40%,has irpm,no action
259,2011,Apr,Abbie,2870,products,1.21,17%,Dedu,SC,,has irpm,add credit
260,2013,Apr,Aseda,25031,building,1.43,16%,Odeneho,VA,,has irpm,add credit
261,2013,Aug,Bella,21809,auto,1,71%,Dedu,TX,loss ratio>40%,,no action
262,2011,Mar,Janice,22202,contents,1.66,5%,Ayikple,FL,,has irpm,add credit
263,2013,Aug,Francis,41556,auto,1.23,87%,Dedu,GA,loss ratio>40%,has irpm,add debit
264,2012,Dec,Priscilla,26494,contents,1.51,10%,Ayikple,NC,,has irpm,add credit
265,2015,Sep,Franca,7026,products,0.59,42%,Ayikple,IL,loss ratio>40%,has irpm,no action
266,2013,Sep,Alex,49513,products,1.96,94%,Ayikple,GA,loss ratio>40%,has irpm,add debit
267,2013,May,Ama,31008,home,0.93,54%,Dedu,MN,loss ratio>40%,has irpm,no action
268,2011,Jul,Adjoa,40484,building,2,82%,Odeneho,NC,loss ratio>40%,has irpm,add debit
269,2013,Jun,Ben,2582,products,1.06,24%,Ayikple,TX,,has irpm,add credit
270,2014,Nov,Dan,10833,products,1.1,43%,Ayikple,NC,loss ratio>40%,has irpm,no action
271,2012,Jul,Mina,33967,products,1.66,40%,Odeneho,VA,,has irpm,add credit
272,2011,Feb,Abena,27888,products,1.2,13%,Dedu,NY,,has irpm,add credit
273,2015,Aug,David,20686,contents,1.45,26%,Ayikple,MD,,has irpm,add credit
274,2011,Dec,Ekow,36302,auto,0.54,4%,Dedu,NY,,has irpm,add credit
275,2010,Oct,Kwasi,4064,auto,0.85,65%,Ayikple,GA,loss ratio>40%,has irpm,no action
276,2012,Nov,Kwabena,8262,products,1.58,68%,Odeneho,WI,loss ratio>40%,has irpm,no action
277,2012,Jul,Emefa,10351,contents,1.47,93%,Ayikple,TX,loss ratio>40%,has irpm,add debit
278,2014,Aug,Abbie,6668,building,1.65,18%,Odeneho,KY,,has irpm,add credit
279,2011,May,Aseda,33060,products,1.69,15%,Odeneho,VA,,has irpm,add credit
280,2010,Mar,Bella,25251,home,1.58,96%,Ayikple,GA,loss ratio>40%,has irpm,add debit
281,2014,Feb,Janice,16125,home,1.13,71%,Odeneho,PA,loss ratio>40%,has irpm,add debit
282,2013,Sep,Francis,45523,building,1.48,33%,Odeneho,TN,,has irpm,add credit
283,2011,Jan,Priscilla,17484,home,1.38,18%,Ayikple,NY,,has irpm,add credit
284,2011,Aug,Franca,18002,home,1.3,2%,Dedu,FL,,has irpm,add credit
